=== Alpha Optimization Results ===

Optimal Alpha: 0.20

Performance by Alpha Values:
 alpha  recall_at_5  recall_at_10  recall_at_15  recall_at_20  ndcg_at_5  ndcg_at_10  ndcg_at_15  ndcg_at_20
SPG              5                 926                       74                   304                          1                      0.3283                           0.0135
AMT              5                 524                      476                   374                         18                      0.7137                           0.0378
BKNG             5                 463                      537                   231                         29                      0.4989                           0.0540
GD               5                 303                      697                   196                         86                      0.6469                           0.1234
MO               5                 600                      400                   297                         34                      0.4950                           0.0850
PM               5                 680                      320                   372                         32                      0.5471                           0.1000
LIN              5                 805                      195                   322                          6                      0.4000                           0.0308
V                5                 491                      509                   202                         25                      0.4114                           0.0491
MA               5                 713                      287                   322                         11                      0.4516                           0.0383
GM               5                 683                      317                   343                          9                      0.5022                           0.0284

Best Performance Details:
recall_at_5: 0.0786
recall_at_10: 0.1401
recall_at_15: 0.1918
recall_at_20: 0.2409
ndcg_at_5: 0.6888
ndcg_at_10: 0.6468
ndcg_at_15: 0.6182
ndcg_at_20: 0.5995
